ATA Airlines,TZ
AirTran Airways,FL
Alaska Airlines Inc.,AS
Aloha Airlines Inc.,AQ
America West Airlines Inc.,HP
American Airlines Inc.,AA
American Eagle Airlines Inc.,MQ
Atlantic Coast Airlines,DH
Atlantic Southeast Airlines,EV
Comair Inc.,OH
Continental Airlines Inc.,CO
Delta Airlines Inc.,DL
Endeavor Air Inc.,9E
Envoy Air,MQ
ExpressJet Airlines Inc.,EV
ExpressJet Airlines Inc.,XE
Frontier Airlines Inc.,F9
Hawaiian Airlines Inc.,HA
Independence Air,DH
JetBlue Airways,B6
Mesa Airlines Inc.,YV
Northwest Airlines Inc.,NW
Pinnacle Airlines Inc.,9E
SkyWest Airlines Inc.,OO
Southwest Airlines Co.,WN
Spirit Airlines,NK
US Airways Inc.,US
United Airlines Inc.,UA
Virgin America,VX